DATE,CLF16OV
2017-07-01,160339
2017-08-01,160690
2017-09-01,161212
2017-10-01,160378
2017-11-01,160510
2017-12-01,160538
2018-01-01,161068
2018-02-01,161783
2018-03-01,161684
2018-04-01,161742
2018-05-01,161874
2018-06-01,162269
2018-07-01,162173
2018-08-01,161768
2018-09-01,162078
2018-10-01,162605
2018-11-01,162662
2018-12-01,163111
2019-01-01,163142
2019-02-01,163047
2019-03-01,162935
2019-04-01,162546
2019-05-01,162782
2019-06-01,163133
2019-07-01,163373
2019-08-01,163894
2019-09-01,164051
2019-10-01,164401
2019-11-01,164347
2019-12-01,164556
2020-01-01,164606
2020-02-01,164546
2020-03-01,162913
2020-04-01,156481
2020-05-01,158227
2020-06-01,159932
