,a,e,z,x,pihat,yhat,ghat,rhat,gobs,robs,piobs,r_annual,pi_annual,eps_a,eps_e,eps_z,eps_r
12,-0.03303820240612698,0.0005480452136053153,-0.0003879029277303944,-0.008187245254085677,-0.005651449136366853,-0.010106764813881659,-0.001939447558558677,-0.002750131254667744,-0.001939447558558675,-0.002750131254667744,-0.005651449136366853,-0.01100052501867098,-0.02260579654546741,-0.02835702366564102,0.00046612923693471346,-0.0003879029277303933,0.0009579243435168028
13,-0.032336607003919215,0.0005724910783034336,0.02127135854143019,-0.013977967119562621,-0.007494030164313045,-0.01585672398649034,0.0155213993688215,-0.001906902782137116,0.0155213993688215,-0.001906902782137116,-0.007494030164313045,-0.0076276111285484656,-0.02997612065725218,-0.002443641466855509,2.954268518464825e-05,0.0212713585414302,-9.409785442359536e-05
14,-0.0619826664992412,0.0005314450358006292,-0.014401776842335132,-0.005334559499504286,-0.004481137196859372,-0.008935752423110212,-0.007480805278954998,-0.00539848690449316,-0.0074808052789549955,-0.00539848690449316,-0.004481137196859371,-0.02159394761797264,-0.017924548787437492,-0.03272450448209509,-3.572187547458168e-05,-0.014401776842335118,0.002085558549633986
15,-0.04417836061618866,0.0005057168216261122,0.010713051507797559,-0.008671846916666656,-0.00542713303179506,-0.01123860966846724,0.00841019426244052,-0.003448444314399406,0.008410194262440522,-0.003448444314399406,-0.00542713303179506,-0.013793777257597629,-0.02170853212718024,0.0119035560323248,-2.078577534156953e-05,0.010713051507797559,0.002152058772275959
16,-0.057903686136046385,0.0002435005578376132,-0.001472866421940892,0.0003117905095587625,-0.00101377434820115,-0.0030524136549455487,0.0067133295915807936,-0.005192717366550615,0.006713329591580797,-0.005192717366550615,-0.00101377434820115,-0.02077086946620246,-0.004055097392804598,-0.017931105450518868,-0.0002575130973473746,-0.001472866421940884,-0.004062396557683646
17,0.001999917040732435,0.0003178779389821583,0.00270627286628821,0.00973069143621292,0.0007467719296682168,0.009846886616279452,0.0156055731375132,-0.002056618171854362,0.01560557313751321,-0.002056618171854362,0.0007467719296682168,-0.008226472687417444,0.002987087718672867,0.05439117225662722,7.664193633243628e-05,0.002706272866288218,-0.004941866159318313
18,0.0735312895382337,0.0002519406084351782,0.013278654885442791,0.006059563303341632,-0.00047374717722244804,0.01033173122551301,0.01376349949467635,0.004258050026173822,0.01376349949467635,0.004258050026173822,-0.00047374717722244815,0.01703220010469529,-0.0018949887088897921,0.07172176459977897,-6.29810657144466e-05,0.013278654885442791,4.5221286477843576e-05
19,0.08019781487661988,0.00016986057440905082,0.006823621630451472,0.001243373832553117,-0.001392903089716492,0.00590286687688476,0.0023947572818232288,0.0056903730123628714,0.002394757281823224,0.0056903730123628714,-0.001392903089716493,0.022761492049451482,-0.00557161235886597,0.013666704102426009,-7.97369863676826e-05,0.006823621630451465,0.0008168414051671481
20,0.07596827175665656,6.217172750728138e-05,-0.01877617554379587,0.007635226342979136,0.001191493048082262,0.01204898293204091,-0.01263005948863971,0.004688362730660988,-0.01263005948863972,0.004688362730660988,0.001191493048082262,0.01875345092264395,0.004765972192329047,0.003405288856290877,-0.000106109143559768,-0.018776175543795882,0.002275995626282077
21,0.05400925506063279,-4.77608894256118e-05,-0.000904395515398394,0.007039535416205976,0.001909444706182478,0.01017747313522877,-0.002775905312210527,0.003324814715717139,-0.002775905312210531,0.003324814715717139,0.001909444706182479,0.01329925886286856,0.007637778824729914,-0.01472683722479009,-0.00010935441986707741,-0.0009043955153984028,-0.0021668199925591104
22,0.056793848556963435,-1.209070288726972e-05,0.004575996431504497,-0.000195319230230355,-0.0004413580078921509,0.003104403370929241,-0.002497073332795026,0.004515357462151119,-0.00249707333279503,0.004515357462151119,-0.00044135800789215127,0.018061429848604482,-0.001765432031568605,0.007926274578102886,3.5226010266682284e-05,0.00457599643150449,0.002382318592752006
23,0.03552730687385863,0.0002014506871309683,-0.00040783197343696487,-0.001449483670419277,-0.002013797228392225,0.0006146528589519285,-0.002897582485414272,0.002501377036320386,-0.002897582485414274,0.002501377036320386,-0.002013797228392225,0.01000550814528155,-0.008055188913568902,-0.01585976730048191,0.0002134289464813846,-0.0004078319734369715,0.0001517408459770895
24,0.059098237513215586,0.00024202869499676948,0.001175839859479918,-0.0001966128895564564,-0.002105455139092392,0.003236994709961381,0.0037981817104893742,0.004066903673564842,0.003798181710489372,0.004066903673564842,-0.002105455139092392,0.01626761469425937,-0.008421820556369568,0.026953130253748292,4.245149925611746e-05,0.001175839859479914,0.0009079354085964144
25,0.05025825419774527,0.0005321469904085312,-0.008985843102312003,0.0021920771896040488,-0.0032188920601468308,0.005112081758493069,-0.007110756053780309,0.002304502952736227,-0.007110756053780313,0.002304502952736227,-0.003218892060146832,0.009218011810944908,-0.01287556824058733,-0.0032138311042122013,0.0002923691622752293,-0.00898584310231201,0.0019353127797606328
26,0.059906478272051436,0.00042584277176135497,-0.005088425558221666,0.007775546867360008,-0.0009909402368230634,0.01125611325496621,0.001055605938251483,0.0025065955097142963,0.001055605938251481,0.0025065955097142963,-0.0009909402368230627,0.01002638203885719,-0.003963760947292253,0.01443280987393151,-0.0001013552516363787,-0.00508842555822167,-0.001118905350875075
27,0.1394706109286576,0.000429389155619361,-0.01486848564632004,0.02100594676722186,0.002172659270908078,0.02910918926217689,0.002984590360890635,0.006802300684341123,0.002984590360890633,0.006802300684341123,0.002172659270908078,0.02720920273736449,0.008690637083632309,0.08526722938810544,7.5067216353839874e-06,-0.01486848564632005,-0.001200526277717434
