labobs,robs,pinfobs,dy,dc,dinve,dw,ewma,epinfma,zcapf,rkf,kf,pkf,cf,invef,yf,labf,wf,rrf,mc,zcap,rk,k,pk,c,inve,y,lab,pinf,w,r,a,b,g,qs,ms,spinf,sw,kpf,kp
-0.051612,-0.0087689,-0.0078375,-0.0015843,0.003143,-0.029833,-0.002162,0,3.9869E-19,-0.42286,-0.23754,0.26132,-0.029991,0.13328,0.21858,0.039631,-0.036516,0.06029,-0.0025299,-0.0052865,-0.47359,-0.26604,0.27532,-0.033261,0.13992,0.16892,0.024287,-0.051612,-0.0078375,0.060895,-0.0087689,-6.1586E-17,2.8023E-18,2.3917E-17,1.8922E-05,-1.2695E-18,1.1869E-16,2.6181E-17,0.67023,0.73154
-0.050557,-0.0095674,-0.0075164,-0.00088636,0.0025104,-0.024719,-0.0018922,0,4.1072E-19,-0.41453,-0.23287,0.25569,-0.025818,0.1367,0.1895,0.038048,-0.036279,0.059104,-0.0030857,-0.0055917,-0.463,-0.26009,0.26854,-0.026966,0.14243,0.1442,0.023401,-0.050557,-0.0075164,0.059003,-0.0095674,-6.0306E-17,2.818E-18,2.3264E-17,1.1581E-05,-1.1526E-18,1.1825E-16,2.3352E-17,0.65582,0.71395
-0.049211,-0.010122,-0.0071698,-0.00041786,0.0018756,-0.020566,-0.001676,0,4.1801E-19,-0.40588,-0.228,0.24995,-0.022243,0.13903,0.16437,0.036577,-0.035928,0.05787,-0.0035293,-0.0056713,-0.45195,-0.25388,0.262,-0.021852,0.14431,0.12364,0.022983,-0.049211,-0.0071698,0.057327,-0.010122,-5.9001E-17,2.8131E-18,2.2665E-17,7.0886E-06,-1.0507E-18,1.1768E-16,2.0558E-17,0.6411,0.69626
-0.047693,-0.010478,-0.0068136,-0.00012545,0.0012549,-0.017197,-0.001507,0,4.2163E-19,-0.39698,-0.22301,0.24412,-0.019173,0.14042,0.14267,0.035201,-0.035484,0.056601,-0.0038807,-0.0055848,-0.44062,-0.24752,0.25565,-0.01772,0.14556,0.10644,0.022857,-0.047693,-0.0068136,0.05582,-0.010478,-5.7682E-17,2.7938E-18,2.2114E-17,4.3387E-06,-9.6156E-19,1.1702E-16,1.7812E-17,0.62617,0.67859
-0.04609,-0.010676,-0.0064597,3.5296E-05,0.00066125,-0.014464,-0.0013786,0,4.2241E-19,-0.38791,-0.21791,0.23826,-0.016534,0.14101,0.12392,0.03391,-0.034966,0.055308,-0.0041554,-0.0053813,-0.42916,-0.24108,0.24943,-0.0144,0.14623,0.091976,0.022893,-0.04609,-0.0064597,0.054442,-0.010676,-5.6356E-17,2.7645E-18,2.1602E-17,2.6556E-06,-8.8329E-19,1.1628E-16,1.5123E-17,0.61112,0.66102
-0.044465,-0.010749,-0.0061166,0.00010064,0.00010455,-0.012242,-0.0012839,0,4.2101E-19,-0.37875,-0.21276,0.23238,-0.014263,0.14094,0.10771,0.032693,-0.034389,0.054001,-0.0043662,-0.0051008,-0.41769,-0.23464,0.24333,-0.011743,0.14633,0.079733,0.022993,-0.044465,-0.0061166,0.053158,-0.010749,-5.503E-17,2.7284E-18,2.1123E-17,1.6254E-06,-8.1425E-19,1.1547E-16,1.2498E-17,0.59604,0.6436
-0.042863,-0.010726,-0.0057899,9.9634E-05,-0.00040827,-0.010431,-0.0012164,0,4.1794E-19,-0.36953,-0.20759,0.22651,-0.012307,0.14032,0.093699,0.031543,-0.033765,0.052687,-0.0045235,-0.0047748,-0.40629,-0.22823,0.23731,-0.0096256,0.14592,0.069303,0.023093,-0.042863,-0.0057899,0.051941,-0.010726,-5.3711E-17,2.6879E-18,2.0673E-17,9.9483E-07,-7.5311E-19,1.1461E-16,9.9425E-18,0.58099,0.6264
-0.041312,-0.01063,-0.0054833,5.5102E-05,-0.00087284,-0.008946,-0.0011704,0,4.136E-19,-0.36031,-0.20241,0.22068,-0.010622,0.13922,0.081587,0.030452,-0.033105,0.051373,-0.0046359,-0.0044278,-0.39503,-0.22191,0.23137,-0.0079413,0.14505,0.060357,0.023148,-0.041312,-0.0054833,0.050771,-0.01063,-5.2402E-17,2.6444E-18,2.0247E-17,6.089E-07,-6.9874E-19,1.1369E-16,7.4608E-18,0.56603,0.60944
-0.039831,-0.010478,-0.0051985,-1.5443E-05,-0.0012869,-0.0077215,-0.0011406,0,4.083E-19,-0.35113,-0.19725,0.2149,-0.0091687,0.13774,0.071113,0.029416,-0.032417,0.050064,-0.0047106,-0.0040779,-0.38395,-0.21569,0.22549,-0.0066033,0.14376,0.052635,0.023133,-0.039831,-0.0051985,0.04963,-0.010478,-5.1108E-17,2.5991E-18,1.984E-17,3.7269E-07,-6.5019E-19,1.1274E-16,5.0557E-18,0.5512,0.59276
-0.038428,-0.010288,-0.0049362,-9.8903E-05,-0.0016502,-0.0067038,-0.0011225,0,4.0227E-19,-0.34202,-0.19213,0.20918,-0.0079155,0.13594,0.062052,0.028429,-0.03171,0.048764,-0.0047537,-0.0037381,-0.37309,-0.20959,0.21967,-0.0055398,0.14211,0.045931,0.023034,-0.038428,-0.0049362,0.048508,-0.010288,-4.9832E-17,2.5526E-18,1.945E-17,2.2811E-07,-6.0669E-19,1.1175E-16,2.7293E-18,0.53655,0.57637
