,aic,bic,controls,endo_states,exo_states,loglik,max_pval,mean_pval,min_pval,mse,nendo,nexo,nstates,total_valid,true_index,true_valid,valid
257,-11919.387951760957,-11690.132975394004,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6047.693975880478,1.0,0.9713798469946979,0.012265683613647216,1.6034858707293833,1.0,2.0,3.0,6.0,0.0,1.0,1.0
258,-11885.227530692555,-11655.972554325603,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6030.613765346277,1.0,0.9722752885866817,0.20284544866013396,1.9435267649952728,1.0,2.0,3.0,6.0,0.0,1.0,1.0
259,-20289.58013069804,-20060.325154331087,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10232.79006534902,1.0,0.9649279822757645,0.007223524651607249,0.0612656111076753,1.0,2.0,3.0,6.0,1.0,1.0,1.0
260,-11941.90620173314,-11712.651225366188,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6058.95310086657,1.0,0.9872217184864743,0.2793726893527328,1.5278714704350795,1.0,2.0,3.0,5.0,0.0,1.0,1.0
261,-11926.789717119207,-11697.534740752255,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6051.394858559604,1.0,0.9787668347255837,0.10926203578131925,1.5412449525785639,1.0,2.0,3.0,6.0,0.0,1.0,1.0
262,-12024.14063359908,-11794.885657232127,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6100.07031679954,1.0,0.98534195972879,0.4310349073098931,1.0325531710162643,1.0,2.0,3.0,5.0,0.0,1.0,1.0
263,-11938.865664439783,-11709.610688072831,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.432832219892,1.0,0.9793827270797442,0.14005376839866251,1.4787002142803565,1.0,2.0,3.0,5.0,0.0,1.0,1.0
264,-11914.245239521986,-11684.990263155034,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6045.122619760993,1.0,0.9895244028025187,0.6213822937494765,1.7001923190421613,1.0,2.0,3.0,5.0,0.0,1.0,1.0
265,-11962.688356694214,-11733.433380327262,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6069.344178347107,1.0,0.9684632348830717,0.023387541881619463,1.325027524371424,1.0,2.0,3.0,5.0,0.0,1.0,1.0
266,-11952.473773173346,-11723.218796806394,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6064.236886586673,1.0,0.98752076466159,0.08142589651863942,1.4239699376381756,1.0,2.0,3.0,6.0,0.0,1.0,1.0
267,-11944.28367052252,-11715.028694155568,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6060.14183526126,1.0,0.9862041372705441,0.1742112560178986,1.6000284721024849,1.0,2.0,3.0,5.0,0.0,1.0,1.0
268,-11921.967612575907,-11692.712636208955,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6048.9838062879535,1.0,0.981605456313722,0.3010186521793848,1.6353618713437887,1.0,2.0,3.0,5.0,0.0,1.0,1.0
269,-11935.762241528651,-11706.5072651617,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.881120764326,1.0,0.9870528746881451,0.0799393395817242,1.5405663080342258,1.0,2.0,3.0,4.0,0.0,1.0,1.0
270,-11980.756135289697,-11751.501158922745,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6078.378067644849,1.0,0.9939859411299189,0.7814345026107501,1.344449385225757,1.0,2.0,3.0,5.0,0.0,1.0,1.0
